################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.1220981970316817E-01 a       343     0    18     1     3
 -1.1168432352053488E+00 a       344     0    18     1     4
 -1.2857427509774286E+00 a       345     0    18     1     5
  9.1907682068636432E-01 a       346     0    18     1     6
  1.7619136573653964E+00 a       347     0    18     1     7
 -1.2250547837928166E-01 a       348     0    18     1     8
  7.9066112560507454E-02 a       349     0    18     1     9
 -1.0397118324112229E+00 a       350     0    18     1    10
 -1.4749058000505770E+00 a       351     0    18     1    11
 -1.2254018382197132E+00 a       352     0    18     1    12
 -9.7084617423386665E-01 a       353     0    18     1    13
 -3.5551478390863256E-01 a       354     0    18     1    14
 -1.8577761781454369E-01 a       355     0    18     1    15
 -3.5027691064100175E-01 a       356     0    18     1    16
 -1.4061476322035377E-01 a       357     0    18     1    17
 -4.3058199853499135E-01 a       358     0    18     1    18
 -6.7846180421279323E-02 a       359     0    18     1    19
 -2.4799914843925306E+00 a       360     0    18     1    20
  6.9194078644524848E-01 a       361     0    19     1     1
 -1.4988883268388853E-01 a       362     0    19     1     2
 -1.2050244765112197E+00 a       363     0    19     1     3
  1.8639864657687761E+00 a       364     0    19     1     4
  6.1209839753036455E-02 a       365     0    19     1     5
  1.2250922651531534E-02 a       366     0    19     1     6
  2.6085397636573970E-01 a       367     0    19     1     7
  7.0645869710617915E-01 a       368     0    19     1     8
  1.0300836281933706E-02 a       369     0    19     1     9
  1.3089329710359026E+00 a       370     0    19     1    10
 -3.7219628685257938E-01 a       371     0    19     1    11
  1.0516236641663663E+00 a       372     0    19     1    12
 -6.5205252339440434E-01 a       373     0    19     1    13
  7.5339114872919621E-01 a       374     0    19     1    14
 -9.6096522791958117E-01 a       375     0    19     1    15
  1.7422025809085526E-01 a       376     0    19     1    16
  8.7532017998140435E-02 a       377     0    19     1    17
 -1.8502632020701670E+00 a       378     0    19     1    18
 -2.4784931941222155E-01 a       379     0    19     1    19
  4.2485437521048086E-01 a       380     0    19     1    20
 -3.2831743470461250E-01 a       381     0    20     1     1
  6.1963976746828263E-02 a       382     0    20     1     2
  5.4708212745779838E-01 a       383     0    20     1     3
 -5.1599960789940658E-01 a       384     0    20     1     4
 -2.2702876711346712E-01 a       385     0    20     1     5
 -2.6945374628479979E-01 a       386     0    20     1     6
 -3.9584599300467715E-01 a       387     0    20     1     7
 -1.4193550201574015E-01 a       388     0    20     1     8
 -3.9095371488856567E-01 a       389     0    20     1     9
 -4.3070727310611095E-01 a       390     0    20     1    10
  2.9169477704183122E-01 a       391     0    20     1    11
  3.6862128977911079E-01 a       392     0    20     1    12
 -2.0822142208041725E-01 a       393     0    20     1    13
  4.1873545030882631E-01 a       394     0    20     1    14
  1.8694176179667041E-01 a       395     0    20     1    15
  5.3824602244431148E-02 a       396     0    20     1    16
 -8.3217405395090618E-03 a       397     0    20     1    17
  5.7862879379349863E-01 a       398     0    20     1    18
  8.4875876184327806E-02 a       399     0    20     1    19
  1.7403050335642829E-02 a       400     0    20     1    20
  2.1627723578995806E-01 a       401     0    21     1     1
  7.8226369188715128E-01 a       402     0    21     1     2
  3.7264437623976066E-01 a       403     0    21     1     3
  1.2902204106947504E-01 a       404     0    21     1     4
 -3.1541189043373524E-01 a       405     0    21     1     5
  3.9445747094685224E-01 a       406     0    21     1     6
  3.9659946048093980E-01 a       407     0    21     1     7
 -2.3005251424255446E-01 a       408     0    21     1     8
  1.8101364906863057E-01 a       409     0    21     1     9
 -1.1914384202896540E+00 a       410     0    21     1    10
 -4.4591263903595985E-01 a       411     0    21     1    11
 -6.6670381661875133E-01 a       412     0    21     1    12
  2.0843291681420564E-01 a       413     0    21     1    13
 -2.2771597004552244E-01 a       414     0    21     1    14
 -6.7813159032816750E-01 a       415     0    21     1    15
 -8.7316718003982677E-02 a       416     0    21     1    16
  5.7237356383364058E-01 a       417     0    21     1    17
 -1.9761350966823829E-01 a       418     0    21     1    18
  2.1431727842499818E-01 a       419     0    21     1    19
 -1.0822170534595097E+00 a       420     0    21     1    20
 -6.8137508160206944E-02 a       421     0    22     1     1
 -4.3572923714406708E-01 a       422     0    22     1     2
  2.5971479137777959E-01 a       423     0    22     1     3
 -4.4616344878673475E-01 a       424     0    22     1     4
  7.1692362853594302E-02 a       425     0    22     1     5
 -1.1247211228706822E-01 a       426     0    22     1     6
 -2.8765548094845533E-01 a       427     0    22     1     7
  5.0782122694772736E-01 a       428     0    22     1     8
  4.6721343928204634E-01 a       429     0    22     1     9
  1.5806379994309630E-01 a       430     0    22     1    10
 -3.2662007965283929E-02 a       431     0    22     1    11
  3.9798712793492264E-01 a       432     0    22     1    12
  2.8442161753157591E-01 a       433     0    22     1    13
 -1.0071532874914210E-01 a       434     0    22     1    14
 -7.7907993468748868E-02 a       435     0    22     1    15
 -2.1955328652053438E-01 a       436     0    22     1    16
 -7.7986353991531709E-01 a       437     0    22     1    17
  3.9071656153018852E-01 a       438     0    22     1    18
 -3.6351337186738858E-01 a       439     0    22     1    19
 -4.6511958854646193E-02 a       440     0    22     1    20
 -1.2157395359568064E+00 a       441     0    23     1     1
  2.4106486233644890E+00 a       442     0    23     1     2
 -5.4485738975059672E-01 a       443     0    23     1     3
  1.4033581503720634E+00 a       444     0    23     1     4
  4.7938002262500323E-01 a       445     0    23     1     5
  8.6398152947507922E-01 a       446     0    23     1     6
  1.1674315252011214E+00 a       447     0    23     1     7
  6.9846728793721613E-01 a       448     0    23     1     8
  7.5465113514199000E-01 a       449     0    23     1     9
 -1.8996794864468041E+00 a       450     0    23     1    10
  2.6431356054806265E+00 a       451     0    23     1    11
  1.3257880219049227E+00 a       452     0    23     1    12
  7.3982712632397596E-01 a       453     0    23     1    13
  5.3367612319937696E-01 a       454     0    23     1    14
 -6.1726948977054730E-01 a       455     0    23     1    15
  2.1035387363484395E-02 a       456     0    23     1    16
  9.5071949862380184E-02 a       457     0    23     1    17
 -1.9367681980423133E+00 a       458     0    23     1    18
 -1.6849455577617902E+00 a       459     0    23     1    19
 -1.9587151959060463E+00 a       460     0    23     1    20
  7.3564287324747701E-01 a       461     0    24     1     1
 -1.5032781747437960E+00 a       462     0    24     1     2
 -9.9089259254014639E-01 a       463     0    24     1     3
 -4.8595786142057112E-01 a       464     0    24     1     4
  8.2013136058899350E-01 a       465     0    24     1     5
 -1.0495319831328742E+00 a       466     0    24     1     6
  6.7252905789148387E-01 a       467     0    24     1     7
  8.7167351107792324E-01 a       468     0    24     1     8
 -1.6712034292182871E+00 a       469     0    24     1     9
  2.1204877669341786E+00 a       470     0    24     1    10
 -6.2338184849755152E-01 a       471     0    24     1    11
 -1.5815430463881477E-01 a       472     0    24     1    12
 -6.0365677083366509E-01 a       473     0    24     1    13
  5.7601546053936269E-02 a       474     0    24     1    14
  6.9516899233179497E-02 a       475     0    24     1    15
  9.0439897887119725E-01 a       476     0    24     1    16
  3.3658139883775251E-01 a       477     0    24     1    17
  8.4187953023640405E-02 a       478     0    24     1    18
  3.5812574837144762E-01 a       479     0    24     1    19
  6.1638115897486567E-01 a       480     0    24     1    20
 -1.1833135586014705E+00 a       481     0    25     1     1
  3.1192909619300307E-01 a       482     0    25     1     2
  1.4364261281368047E+00 a       483     0    25     1     3
  1.0247292275913831E+00 a       484     0    25     1     4
 -5.9568282043098324E-02 a       485     0    25     1     5
