################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.2764817167090277E+00 a       248     0    16     1     8
  3.0446918568203287E+00 a       249     0    16     1     9
 -2.1536994490844465E+00 a       250     0    16     1    10
  1.5754046712875529E+00 a       251     0    16     1    11
 -3.2161967360295951E+00 a       252     0    16     1    12
 -1.0573249521287822E+00 a       253     0    16     1    13
  2.2146166381811745E+00 a       254     0    16     1    14
  6.0716317124962433E+00 a       255     0    16     1    15
 -5.0153908853742135E-01 a       256     0    16     1    16
  6.7976451209005733E+00 a       257     0    17     1     1
  1.0187291473093891E+01 a       258     0    17     1     2
  7.1642786318914196E+00 a       259     0    17     1     3
 -4.5102045833820381E-01 a       260     0    17     1     4
 -5.5567295042074081E+00 a       261     0    17     1     5
  6.8965259434803698E+00 a       262     0    17     1     6
  8.9396796046420821E+00 a       263     0    17     1     7
  5.0386007688711940E+00 a       264     0    17     1     8
  4.6391172892861601E+00 a       265     0    17     1     9
  1.2794824466837964E+00 a       266     0    17     1    10
  2.3051071486280459E+00 a       267     0    17     1    11
 -1.2027257717869147E-01 a       268     0    17     1    12
 -3.0681488909126126E-01 a       269     0    17     1    13
  4.7329756238141609E+00 a       270     0    17     1    14
  1.1169169959467027E+01 a       271     0    17     1    15
 -2.1375441516015803E+00 a       272     0    17     1    16
  4.1547446302723028E+00 a       273     0    18     1     1
  4.5893600134970223E+00 a       274     0    18     1     2
  5.4749406398290752E+00 a       275     0    18     1     3
 -9.0807055161200800E+00 a       276     0    18     1     4
  1.4325949009309880E+01 a       277     0    18     1     5
  2.1401160493428470E+00 a       278     0    18     1     6
  5.8335043740485677E+00 a       279     0    18     1     7
  2.1800505177019458E+00 a       280     0    18     1     8
  1.2516100001434081E+01 a       281     0    18     1     9
  8.3513801303277524E-01 a       282     0    18     1    10
 -4.4925024768572497E+00 a       283     0    18     1    11
 -1.4212116363074809E+00 a       284     0    18     1    12
  4.4522242965139869E+00 a       285     0    18     1    13
 -7.5814334560930052E-01 a       286     0    18     1    14
 -3.7073512580268786E+00 a       287     0    18     1    15
  8.7843810587892808E+00 a       288     0    18     1    16
 -5.2112653204388145E+01 a       289     0    19     1     1
  4.0481435129753383E+00 a       290     0    19     1     2
  4.2536468338721555E+01 a       291     0    19     1     3
 -3.2830290047240254E+01 a       292     0    19     1     4
  5.8156175635884404E+00 a       293     0    19     1     5
  3.7216782000652977E+01 a       294     0    19     1     6
  5.5922134463975098E+01 a       295     0    19     1     7
  2.0536187588873378E+01 a       296     0    19     1     8
  8.6400619880536915E+00 a       297     0    19     1     9
 -1.4896181688970942E+00 a       298     0    19     1    10
  4.8325492382580272E+01 a       299     0    19     1    11
 -4.1235648653080105E+01 a       300     0    19     1    12
  2.3076964796342242E+01 a       301     0    19     1    13
  1.7157697022300901E+01 a       302     0    19     1    14
 -2.1825979856589250E+01 a       303     0    19     1    15
  2.2633725473048319E+01 a       304     0    19     1    16
 -1.7816208345677399E+01 a       305     0    20     1     1
 -1.6820506213288513E+02 a       306     0    20     1     2
 -3.8618658386036451E+01 a       307     0    20     1     3
  8.9965503603429156E+01 a       308     0    20     1     4
 -6.7993255614530836E+00 a       309     0    20     1     5
  1.4228480870605926E+01 a       310     0    20     1     6
 -2.4246781827127851E+01 a       311     0    20     1     7
  7.2250234503386920E+01 a       312     0    20     1     8
 -1.2743812817099403E+00 a       313     0    20     1     9
