################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.9869509948009059E+00 a       405     0    26     1     5
 -7.9499469469453299E-01 a       406     0    26     1     6
 -1.7416155834732869E+00 a       407     0    26     1     7
 -4.8567055211990198E+00 a       408     0    26     1     8
  6.9470554575824393E+00 a       409     0    26     1     9
  2.8747281619393203E+00 a       410     0    26     1    10
 -1.5920990946654163E+00 a       411     0    26     1    11
 -3.7204155622674242E+00 a       412     0    26     1    12
 -1.2149516836014265E+00 a       413     0    26     1    13
 -7.9911599803540700E-01 a       414     0    26     1    14
  1.8865488460595066E+00 a       415     0    26     1    15
 -1.0137722439878772E+01 a       416     0    26     1    16
  4.4293091105194998E-01 a       417     0    27     1     1
 -1.7918928513583632E+00 a       418     0    27     1     2
  2.8775010185208165E+00 a       419     0    27     1     3
  2.3014304739719504E+00 a       420     0    27     1     4
  3.1352216444741027E-01 a       421     0    27     1     5
  2.3089319073453174E+00 a       422     0    27     1     6
  7.9316163369949755E-01 a       423     0    27     1     7
  6.3372353266397958E+00 a       424     0    27     1     8
  8.5931897658180194E+00 a       425     0    27     1     9
  2.3872842684550060E+00 a       426     0    27     1    10
  3.1140638614150422E+00 a       427     0    27     1    11
 -5.2545276427507268E+00 a       428     0    27     1    12
 -4.4585848623884008E+00 a       429     0    27     1    13
  1.9738477336748410E+00 a       430     0    27     1    14
  3.2913648900611259E-01 a       431     0    27     1    15
 -3.2912976252125072E+00 a       432     0    27     1    16
  3.7358483866236503E-01 a       433     0    28     1     1
 -1.1758811794046865E+01 a       434     0    28     1     2
  7.4112652592941668E+00 a       435     0    28     1     3
  3.8771683396842977E+00 a       436     0    28     1     4
 -3.1810755131281216E+00 a       437     0    28     1     5
 -1.4003448453343916E+00 a       438     0    28     1     6
  5.1905256056005484E+00 a       439     0    28     1     7
